"filename", "language", "Go", "Markdown", "Log", "Shell Script", "Go Checksum File", "XML", "Go Module File", "comment", "blank", "total"
"d:\GOPATH__MY\src\kv-raft\kvraft\logs\1.log", "Log", 0, 0, 163, 0, 0, 0, 0, 0, 1, 164
"d:\GOPATH__MY\src\kv-raft\kvraft\logs\2.log", "Log", 0, 0, 126, 0, 0, 0, 0, 0, 1, 127
"d:\GOPATH__MY\src\kv-raft\kvraft\logs\3.log", "Log", 0, 0, 480, 0, 0, 0, 0, 0, 1, 481
"d:\GOPATH__MY\src\kv-raft\kvraft\logs\4.log", "Log", 0, 0, 120, 0, 0, 0, 0, 0, 1, 121
"d:\GOPATH__MY\src\kv-raft\kvraft\logs\5.log", "Log", 0, 0, 131, 0, 0, 0, 0, 0, 1, 132
"d:\GOPATH__MY\src\kv-raft\kvraft\logs\6.log", "Log", 0, 0, 122, 0, 0, 0, 0, 0, 1, 123
"d:\GOPATH__MY\src\kv-raft\kvraft\server.go", "Go", 176, 0, 0, 0, 0, 0, 0, 62, 32, 270
"d:\GOPATH__MY\src\kv-raft\kvraft\test_test.go", "Go", 522, 0, 0, 0, 0, 0, 0, 90, 104, 716
"d:\GOPATH__MY\src\kv-raft\labgob\labgob.go", "Go", 138, 0, 0, 0, 0, 0, 0, 16, 21, 175
"d:\GOPATH__MY\src\kv-raft\labgob\test_test.go", "Go", 128, 0, 0, 0, 0, 0, 0, 17, 28, 173
"d:\GOPATH__MY\src\kv-raft\labrpc\labrpc.go", "Go", 333, 0, 0, 0, 0, 0, 0, 110, 71, 514
"d:\GOPATH__MY\src\kv-raft\labrpc\test_test.go", "Go", 444, 0, 0, 0, 0, 0, 0, 36, 118, 598
"d:\GOPATH__MY\src\kv-raft\models\kv.go", "Go", 60, 0, 0, 0, 0, 0, 0, 5, 5, 70
"d:\GOPATH__MY\src\kv-raft\porcupine\bitset.go", "Go", 58, 0, 0, 0, 0, 0, 0, 2, 13, 73
"d:\GOPATH__MY\src\kv-raft\porcupine\checker.go", "Go", 335, 0, 0, 0, 0, 0, 0, 11, 28, 374
"d:\GOPATH__MY\src\kv-raft\porcupine\model.go", "Go", 50, 0, 0, 0, 0, 0, 0, 14, 14, 78
"d:\GOPATH__MY\src\kv-raft\porcupine\porcupine.go", "Go", 24, 0, 0, 0, 0, 0, 0, 8, 8, 40
"d:\GOPATH__MY\src\kv-raft\porcupine\visualization.go", "Go", 729, 0, 0, 0, 0, 0, 0, 103, 66, 898
"d:\GOPATH__MY\src\kv-raft\raft\appendentry.go", "Go", 210, 0, 0, 0, 0, 0, 0, 66, 32, 308
"d:\GOPATH__MY\src\kv-raft\raft\config.go", "Go", 439, 0, 0, 0, 0, 0, 0, 86, 65, 590
"d:\GOPATH__MY\src\kv-raft\raft\election.go", "Go", 120, 0, 0, 0, 0, 0, 0, 60, 27, 207
"d:\GOPATH__MY\src\kv-raft\raft\installsnapshot.go", "Go", 88, 0, 0, 0, 0, 0, 0, 29, 26, 143
"d:\GOPATH__MY\src\kv-raft\raft\log.go", "Go", 50, 0, 0, 0, 0, 0, 0, 14, 9, 73
"d:\GOPATH__MY\src\kv-raft\raft\logger.go", "Go", 19, 0, 0, 0, 0, 0, 0, 78, 5, 102
"d:\GOPATH__MY\src\kv-raft\raft\persister.go", "Go", 54, 0, 0, 0, 0, 0, 0, 10, 13, 77
"d:\GOPATH__MY\src\kv-raft\raft\raft.go", "Go", 245, 0, 0, 0, 0, 0, 0, 121, 53, 419
"d:\GOPATH__MY\src\kv-raft\raft\test.sh", "Shell Script", 0, 0, 0, 12, 0, 0, 0, 2, 4, 18
"d:\GOPATH__MY\src\kv-raft\raft\test_test.go", "Go", 782, 0, 0, 0, 0, 0, 0, 90, 216, 1088
"d:\GOPATH__MY\src\kv-raft\raft\tool.go", "Go", 52, 0, 0, 0, 0, 0, 0, 4, 5, 61
"d:\GOPATH__MY\src\kv-raft\raft\tool_test.go", "Go", 76, 0, 0, 0, 0, 0, 0, 0, 8, 84
"d:\GOPATH__MY\src\kv-raft\raft\util.go", "Go", 21, 0, 0, 0, 0, 0, 0, 3, 5, 29
"Total", "-", 6406, 3, 1263, 12, 16, 62, 4, 1229, 1200, 10195
